"","id","total_productos","productos_distintos","dias_activos","media_compras_por_semana","compras_entre_semana","compras_fin_de_semana","Cluster"
"36484","cf210f13477b560549ca4d96d414eabe",37,37,2,37,37,19,"2"
"36485","cf21559ac37b8f7a18e5a1f74d7d7045",30,25,2,15,30,9,"2"
"36486","cf219c279cf8d0024e5f7a475e831850",36,36,2,36,36,22,"2"
"36487","cf23ec1ee78db2811fa4a777d9d7274d",11,10,2,10,3,6,"2"
"36488","cf248eed584112676de66582279241eb",11,10,2,10,5,5,"2"
"36489","cf2682a12c567c560faec3a0d4ac93ea",21,21,2,21,21,17,"2"
"36490","cf26c752878d3a813fec3f9b57f50954",52,49,2,26,29,23,"2"
"36491","cf3166f4d1fd7c6eb780429d9e830ba3",55,55,2,55,55,55,"2"
"36492","cf36f93bf147e6700128b74b6303c334",207,110,2,51,214,55,"1"
"36493","cf396ceb2abc59379dd2d1a6ff831357",16,14,3,8,16,4,"2"
"36494","cf39a460438f6cf6f75e49ea14585983",233,101,3,30.6923076923077,103,75,"1"
"36495","cf3ac128d4579cd46f0d8f0c28ac2116",38,38,2,38,38,37,"2"
"36496","cf3c49a07b3802b62d2b08cdac86e139",65,57,2,32.5,65,15,"2"
"36497","cf3c9a60cff383e74c377f4afa39477f",55,46,2,27.5,55,21,"2"
"36498","cf3db79ebf8257f0bec108ff558c60e6",275,119,3,38.3333333333333,179,73,"1"
"36499","cf3f5393188aa3c67224bb52b209118d",11,10,2,10,3,6,"2"
"36500","cf3f73e3e2952d20ef7a5f6353d4e830",11,10,2,10,6,5,"2"
"36501","cf3fecf24b118d29ba0a65d62703be71",22,22,2,22,22,21,"2"
"36502","cf403d6a0d0791fa845bdf48215e9d2a",16,16,2,16,16,8,"2"
"36503","cf40657cf23f8db42a8e858d5c106d57",142,100,3,47.3333333333333,83,59,"3"
"36504","cf417575f1623efcd156553adfa74575",212,131,2,41.8,212,23,"1"
"36505","cf425edd45f7f192c8e69f49df575176",49,49,2,49,49,28,"2"
"36506","cf438a1b40ab66272ca8c0527faaf758",83,57,2,27.6666666666667,83,25,"3"
"36507","cf43bed8f666c0e0b74664747058b3ac",293,112,3,34.2,258,29,"1"
