id_cliente_enc,total_productos,productos_distintos,dias_activos,compras_por_semana,compras_entre_semana,compras_fin_de_semana,grupo_preferido,Cluster
ffd49b7e6148f2a95f8f0111ff85a966,66,53,1,462,66,0,03070,2
fa25ffab4c12a3d3de437827d6c27e78,88,70,4,154,88,0,05030,3
8281ae3eb9a35d9283880b32aca0069d,67,58,3,156.33333333333334,42,25,01012,2
15bf8a5377dbcccf2bc187559c4cadd1,106,72,2,371,106,0,05040,3
2f08df1c383a56546410d1efd2e6cf36,55,52,2,192.5,55,0,05040,1
a23a93a1791efcd3b52c207885daeebd,20,20,1,140,0,20,12570,1
3e1b38e50e7f236fd271ffc432ae3585,52,44,2,182,52,0,01012,1
65147291c5acc58e38cf26333047fc53,29,29,1,203,29,0,05100,1
a560ff23e300ec8d372f61ae83819f0a,25,25,1,175,25,0,05040,1
00341ca1bf2dd3066c42f50685697f31,119,81,2,416.5,73,46,04020,3
2b88e91011de91e0a8e768434d4c6e64,99,83,2,346.5,99,0,02620,3
fc11ff703bfd7b32acdf237d6e3b6c09,112,85,2,392,112,0,01026,3
19ea733dbe8c760efec0fd3332ad6c0c,4,4,1,28,0,4,10152,1
1276e58ae96158798877f98b4c152cf0,115,64,3,268.33333333333337,115,0,10200,3
886280b28d74f4c1d150912c6dd7919d,28,28,1,196,0,28,01027,1
1da5d7df697137204a7b0345bf088b83,245,117,3,571.6666666666667,245,0,01026,4
42b0205f64b21f1923b6073a0deb6742,105,61,2,367.5,48,57,01027,3
bb3d8c27c1294a0f088d1aba29b1be6a,282,79,2,987,282,0,10200,4
7f47723dbda8c9bd64820bc1157a2dc0,7,7,1,49,7,0,10200,1
1e92ad2b024f259e40a4119f7327bd24,21,21,1,147,21,0,03050,1
92def3fe84f244f6a8d54c7bf6a3b486,37,37,1,259,37,0,10200,1
405e304d1baa4ff7a7196660e144f196,35,26,1,245,35,0,13720,1
87cfe270fb32ba10a2de20465c0886b7,545,168,2,1907.5,66,479,01027,4
0e049dc11b80379193e9f5a496db0879,201,101,3,469,201,0,01026,4
fc56ea4f96ff097d3c9404bfd431a818,115,66,3,268.33333333333337,83,32,06100,3
099114118ab84751dce9e099b35f0a8c,394,131,5,551.6,203,191,05040,4
70e4fa639548da5598011a3de0ae0c06,43,15,4,75.25,43,0,05030,1
66650d06f053979d3d787d01e930de38,29,29,1,203,29,0,08230,1
222d695df71453709e77591d093e81d2,9,9,1,63,9,0,02751,1
6743cc40cf7bbfa6b0a34352e26ded05,82,82,1,574,82,0,13877,3
8f299806c68199f54cead4ac8b51f529,158,114,2,553,158,0,01026,3
4cdeae45b3fbd22c6bf07034e0b84133,97,56,3,226.33333333333334,97,0,11080,3
da5e60e14c713270025492ad483f5f8d,271,75,3,632.3333333333334,271,0,01027,4
c55da780a1209fb2d2fa95bc1418aa42,150,106,2,525,150,0,05040,3
0610a634e5515882ae2000f37b985025,82,67,2,287,82,0,05040,2
4b9d85bd48f236189f201990740dc20c,36,34,2,126,36,0,01013,1
f300f05555dbc2e7d8a050629d5b0535,21,18,2,73.5,21,0,01026,1
9d64c48379d5828558e095765f8bac6f,125,87,3,291.6666666666667,125,0,11080,3
06dd1c1cf10fade22ccabe204faf4ce0,115,69,3,268.33333333333337,91,24,10200,3
b6231475375ab8d39f3be7d33dc4b6c5,127,80,2,444.5,69,58,05040,3
88dae00e98921334cb32b70d567437d7,185,99,4,323.75,154,31,01026,4
38dfac0be14b42dc166b82f96e8d1eb6,55,49,2,192.5,55,0,10200,1
f7dbdbfbbadc99e18486e42d1cb82877,11,11,1,77,11,0,05030,1
d8caf6471da61c57f1f894df4fc7b47b,107,76,1,749,0,107,05041,3
16910cd9a4517018434844240f86e4b6,82,42,2,287,82,0,09090,2
2d226291e3ea5b585bf2f5d20182acc6,44,42,2,154,44,0,04032,1
7deb6444e71bea5805c77fb8593111c7,76,52,1,532,76,0,05041,2
0bfe87f5754a69745dbbc577f293eeaf,113,56,3,263.6666666666667,113,0,10240,3
76e23da9f4dda67008d7bae1e08ce6ec,15,15,1,105,15,0,10200,1
8b0d34db944166d112b502e09ccbdf32,82,55,2,287,82,0,09150,2
24400a95bf15c4be17cb7a22abf51e73,53,47,2,185.5,22,31,05040,1
107d829b016a940b3580f9b10aa14fb2,16,16,1,112,16,0,08452,1
8c1c61ae4f64d04c75b8467e6f11653c,31,31,1,217,31,0,05040,1
87bd3cda6c8b247baefadc62e26bdc14,88,37,3,205.33333333333334,53,35,01012,2
718b8b570d75a03bb0630d594b01b0fa,63,39,1,441,63,0,04020,1
5262de0fd5cd6b889186b6fc5189516c,23,23,1,161,23,0,08100,1
