"cod_est","descripcion"
"02720515","PAVO FRESCO ESTOFADO Y OTROS"
"02720520","PAVO MARINADO"
"02721005","PATO MAGRET"
"02721010","PATO HIGADO"
"02721015","PATO CONFIT MUSLO Y OTROS"
"02721505","CODORNICES Y PERDICES"
"02721510","PICANTONES Y COQUELET"
"02721515","AVES ESPECIALES"
"02750305","VACUNO TERNERA FILETE VITRINA"
"02750310","VACUNO TERNERA LOMO VITRINA"
"02750315","VACUNO TERNERA GUISAR VITRINA"
"02750605","VACUNO AÑOJO FILETE VITRINA"
"02750610","VACUNO AÑOJO LOMO VITRINA"
"02750615","VACUNO AÑOJO GUISAR VITRINA"
"02750905","VACUNO MAYOR FILETE VITRINA"
"02750910","VACUNO MAYOR LOMO VITRINA"
"02750915","VACUNO MAYOR GUISAR VITRINA"
"02751205","LOMO BLANCO VITRINA"
"02751210","LOMO ADOBADO VITRINA"
"02751215","CHULETA BLANCO VITRINA"
"02751220","SOLOMILLO BLANCO VITRINA"
"02751225","COSTILLA BLANCO VITRINA"
"02751230","JAMO/ESCA/ROTI BLANCO VITRINA"
"02751235","ESTOFADO BLANCO VITRINA"
"02751240","BACON/PANCETA BLANCO VITRINA"
"02751245","SECRETO/PRESA BLANCO VITRINA"
"02751250","DESPOJO BLANCO VITRINA"
"02751505","LOMO IBERICO VITRINA"
"02751510","OTROS IBERICO VITRINA"
"02751805","COCHINILLO 1/2 y 1/4 VITRINA"
"02752105","PORCINO REFS COMPRA VITRINA"
"02752405","CUARTOS Y MED RECENTAL VITRINA"
"02752410","CHULETILLAS RECENTAL VITRINA"
"02752415","DESPIECE RECENTAL VITRINA"
"02752705","CUARTOS Y MEDIOS LECHAL VITR"
"02752710","CHULETILLAS LECHAL VITRINA"
"02752715","DESPIECE LECHAL VITRINA"
"02753605","BARBACOA VITRINA"
"02753905","CHORIZOS VITRINA"
"02754205","FRITOS Y EMPANADOS VITRINA"
"02754210","CROQUETAS VITRINA"
"02754505","HAMBURGUESAS VITRINA"
"02754805","MORCILLAS VITRINA"
"02755105","PICADAS VITRINA"
"02755405","SALCHICHAS VITRINA"
"02755705","OTROS ELABORADOS VITRINA"
"02756305","CONEJO  VITRINA"
"02756605","POLLO ENTERO VITRINA"
"02756610","POLLO PECHUGA VITRINA"
"02756615","POLLO ALAS VITRINA"
"02756620","POLLO TRASEROS Y OTROS VITRINA"
"02756905","DESPIECE PAVO FRES Y MARIN VIT"
"02756910","OTRAS AVES ENTERAS VITRINA"
"02757205","REF COMPRA VACUNO VITRINA"
"03030101","HELADO FAMILIAR BLOQUE"
"03030102","HELADO FAMILIAR TARRINA ESTAND"
"03030103","HELADO FAMILIAR TARRIN PREMIUM"
"03030104","HELADO FAMILIAR SORBETE"
"03030130","HELADO FAMILIAR TARTA LAMINADA"
"03030135","HELADO FAMILIAR TARTA RESTO"
"03030140","HELADO FAMILIAR TARTA WHISKY"
"03030403","HELADO SALUDABLE VARIOS"
"03033005","H. INDIVIDUAL TARRINA MEDIANA"
"03033010","HELADO INDIVIDUAL INFANTIL"
"03033015","HELADO INDIVIDUAL CONO GRANDE"
"03033020","H. INDIVIDUAL CONO MINI/MEDIAN"
"03033025","HELADO INDIVIDUAL SANDWICH"
"03033030","HELADO INDIVIDUAL BOMBON MINI"
"03033035","HELADO INDIVIDUAL BOMBON GRAND"
"03033040","HELADO INDIVIDUAL VARIOS"
"03033045","HELADO INDIVIDUAL IMPULSO"
"03050109","SALTEADOS VARIOS"
"03050202","CARNE-SAN JACOBO"
"03050207","CARNE-NUGGETS"
"03050298","CARNE-OTROS"
"03050302","FRITOS-EMPANADILLAS"
"03050307","CROQUETAS BACALAO"
"03050308","CROQUETAS JAMON"
"03050309","CROQUETAS OTROS"
"03050310","CROQUETAS POLLO"
"03050398","FRITOS-OTROS"
"03050515","MASAS"
"03050601","PASTA-CANELON"
"03050602","PASTA-LASAÑA"
"03050603","PASTA-OTROS"
"03050701","BASE PIZZA"
"03050704","PIZZA ARTESANA RESTO"
"03050707","PIZZA BAGUETTE"
"03050708","PIZZA FINA"
"03050709","PIZZA MICRO"
"03050710","PIZZA SNACK"
"03050715","PIZZA SIN GLUTEN"
"03050720","PIZZA ARTESANA JAMON/QUESO"
"03050725","PIZZA ARTESANA BOLOÑESA"
"03050730","PIZZA ARTESANA BARBACOA"
"03050735","PIZZA ARTESANA ATUN"
"03050740","PIZZA ARTESANA 4 QUESOS"
"03050745","PIZZA ARTESANA JAMON"
"03050801","COMIDA INTERNACIONAL"
"03050814","PLATOS PREPARADOS VARIAS BASES"
"03051001","CHURROS Y PORRAS"
"03070101","GUISANTE"
"03070102","ALCACHOFA"
"03070103","JUDIA PLANA"
"03070104","JUDIA REDONDA"
"03070105","ESPINACA"
"03070106","HABAS"
"03070107","MENESTRA"
"03070108","ENSALADILLA"
"03070109","OTRAS VERDURAS"
"03070110","CONDIMENTOS"
"03070206","VERDURA PREPARADA"
"03070301","PATATA STANDARD"
"03070302","PATATA ESPECIALIDADES"
"03090105","MERLUZA FILETE"
"03090108","MERLUZA OTROS CORTES"
"03090111","BACALAO"
"03090113","PANGA"
"03090116","SALMON"
"03090198","P.NATURAL OTROS"
"03090201","PREPARADO CEFALOPODO"
"03090203","PREPARADO MERLUZA"
"03090206","PREPARADO OTROS"
"03090301","LANGOSTINO CRUDO"
"03090302","LANGOSTINO COCIDO"
"03090307","PREPARADOS PAELLA"
"03090315","GAMBON"
"03090320","MARISCOS PELADOS"
"03090325","BIVALVOS"
"03090330","MARISCOS OTROS"
"03090401","SUCEDANEO CANGREJO"
"03090403","SUCEDANEO ANGULA"
"03090410","SUCEDANEO ANGULA SABORES"
"03090498","SURIMI-OTROS"
"03091005","CALAMAR NO PORCIONADO"
"03091010","CALAMAR PORCIONADO"
"03091015","SEPIA"
